gene_id	colors
OID20838	grey
OID20839	turquoise
OID20840	grey
OID20841	grey
OID20888	blue
OID20889	blue
OID20893	turquoise
OID20894	turquoise
OID20895	turquoise
OID20808	grey
OID20809	blue
OID20810	blue
OID20811	grey
OID20842	grey
OID20843	turquoise
OID20844	turquoise
OID20845	turquoise
OID20846	turquoise
OID20790	turquoise
OID20791	grey
OID20792	turquoise
OID20793	grey
OID20847	blue
OID20794	turquoise
OID20848	blue
OID20849	blue
OID20850	turquoise
OID20851	blue
OID20852	blue
OID20853	turquoise
OID20854	turquoise
OID20859	grey
OID20875	turquoise
OID20876	turquoise
OID20896	blue
OID20862	grey
OID20863	blue
OID20864	turquoise
OID20865	turquoise
OID20866	blue
OID20890	turquoise
OID20891	grey
OID20892	turquoise
OID20855	turquoise
OID20856	turquoise
OID20857	turquoise
OID20858	turquoise
OID20831	turquoise
OID20832	grey
OID20833	turquoise
OID20834	grey
OID20835	grey
OID20837	turquoise
OID20825	grey
OID20826	grey
OID20827	turquoise
OID20828	turquoise
OID20829	grey
OID20830	grey
OID20860	blue
OID20861	blue
OID20881	blue
OID20882	turquoise
OID20883	turquoise
OID20884	turquoise
OID20885	grey
OID20886	grey
OID20887	turquoise
OID20821	grey
OID20822	grey
OID20823	grey
OID20824	grey
OID20836	turquoise
OID20877	turquoise
OID20878	grey
OID20879	turquoise
OID20880	blue
OID20867	turquoise
OID20868	turquoise
OID20869	turquoise
OID20870	turquoise
OID20871	blue
OID20872	turquoise
OID20873	blue
OID20874	grey
OID20818	grey
OID20819	turquoise
OID20820	grey
OID20795	blue
OID20796	turquoise
OID20797	grey
OID20798	grey
OID20799	grey
OID20800	grey
OID20801	blue
OID20803	turquoise
OID20804	grey
OID20805	grey
OID20806	turquoise
OID20807	blue
OID20812	grey
OID20813	grey
OID20814	turquoise
OID20815	turquoise
OID20816	grey
OID20817	turquoise
OID20922	blue
OID20923	turquoise
OID20967	blue
OID20971	blue
OID20972	blue
OID20916	grey
OID20917	blue
OID20918	turquoise
OID20919	blue
